Trade Date,Type,Cusip,Ticker,Security Type,Price USD,Quantity,Amount USD
12/08/2023,Reinvest,471023358,JATAX,Mutual Fund,0,1.368,-65.82
12/08/2023,CAP,471023358,JATAX,Mutual Fund,0,0,65.82
12/08/2023,DBT,653656108,NICE,Stock,0,0,-0.14
12/07/2023,Dividend,808524839,SCHZ,Stock,0,0,0.98
12/07/2023,Reinvest,808524839,SCHZ,Stock,0,0.02143,-0.98
12/01/2023,Reinvest,,QACDS,Money Market,0,0.08,-0.08
12/01/2023,Reinvest,922906300,VMFXX,Money Market,0,1969.14,-1969.14
12/01/2023,Dividend,922906300,VMFXX,Money Market,0,0,1969.14
12/01/2023,Interest,,,Municipal Bond,0,0,0.08
11/16/2023,Dividend,037833100,AAPL,Stock,0,0,24.39
11/16/2023,Reinvest,037833100,AAPL,Stock,0,0.12826,-24.39
11/10/2023,Dividend,N07059210,ASML,Stock,0,0,18.69
11/10/2023,Reinvest,N07059210,ASML,Stock,0,0.02473,-15.89
11/09/2023,Dividend,57636Q104,MA,Stock,0,0,20.27
11/09/2023,Reinvest,57636Q104,MA,Stock,0,0.05184,-20.27
11/07/2023,Dividend,808524839,SCHZ,Stock,0,0,0.88
11/07/2023,Reinvest,808524839,SCHZ,Stock,0,0.01992,-0.88
11/01/2023,Reinvest,,QACDS,Money Market,0,0.07,-0.07
11/01/2023,Reinvest,922906300,VMFXX,Money Market,0,2021.7,-2021.7
11/01/2023,Dividend,922906300,VMFXX,Money Market,0,0,2021.7
11/01/2023,Interest,,,Municipal Bond,0,0,0.07
10/26/2023,Dividend,91879Q109,MTN,Stock,0,0,32.66
10/26/2023,Reinvest,91879Q109,MTN,Stock,0,0.15659,-32.66
10/24/2023,Dividend,579780206,MKC,Stock,0,0,16.5
10/24/2023,Reinvest,579780206,MKC,Stock,0,0.26996,-16.5
10/16/2023,Dividend,053484101,AVB,Stock,0,0,32.49
10/16/2023,Reinvest,053484101,AVB,Stock,0,0.18428,-32.49
10/13/2023,DBS,,QACDS,Money Market,0,4855.79,-4855.79
10/13/2023,MER,00507V109,ATVI,Stock,0,-51.11362,4855.79
10/10/2023,Dividend,92204A207,VDC,Stock,0,0,63.16
10/10/2023,Reinvest,92204A207,VDC,Stock,0,0.35211,-63.16
10/10/2023,Dividend,92204A884,VOX,Stock,0,0,50.84
10/10/2023,Reinvest,92204A884,VOX,Stock,0,0.48563,-50.84
10/06/2023,Dividend,808524839,SCHZ,Stock,0,0,0.92
10/06/2023,Reinvest,808524839,SCHZ,Stock,0,0.02113,-0.92
10/03/2023,Dividend,92204A702,VGT,Stock,0,0,123.57
10/03/2023,Reinvest,92204A702,VGT,Stock,0,0.29702,-123.57
10/02/2023,Reinvest,,QACDS,Money Market,0,0.04,-0.04
10/02/2023,Reinvest,922906300,VMFXX,Money Market,0,1946.17,-1946.17
10/02/2023,Dividend,922906300,VMFXX,Money Market,0,0,1946.17
10/02/2023,Interest,,,Municipal Bond,0,0,0.04
9/28/2023,Dividend,38141G104,GS,Stock,0,0,59.5
9/28/2023,Reinvest,38141G104,GS,Stock,0,0.1858,-59.5
9/28/2023,Dividend,67066G104,NVDA,Stock,0,0,6.9
9/28/2023,Reinvest,67066G104,NVDA,Stock,0,0.01625,-6.9
9/25/2023,Dividend,808524201,SCHX,Stock,0,0,81.01
9/25/2023,Reinvest,808524201,SCHX,Stock,0,1.59654,-81.01
9/25/2023,Dividend,808524607,SCHA,Stock,0,0,34.39
9/25/2023,Reinvest,808524607,SCHA,Stock,0,0.83793,-34.39
9/20/2023,DBS,,QACDS,Money Market,0,57.01,-57.01
9/20/2023,Dividend,316092600,FHLC,Stock,0,0,13.36
9/20/2023,Dividend,316092808,FTEC,Stock,0,0,63.32
9/20/2023,Reinvest,316092808,FTEC,Stock,0,0.49853,-63.32
9/20/2023,Dividend,316092873,FCOM,Stock,0,0,43.65
9/14/2023,Reinvest,594918104,MSFT,Stock,0,0.12482,-42.06
9/14/2023,Dividend,594918104,MSFT,Stock,0,0,42.06
09/11/2023,DBS,,QACDS,Money Market,0,12.75,-12.75
09/11/2023,Dividend,70432V102,PAYC,Stock,0,0,12.75
09/08/2023,Reinvest,808524839,SCHZ,Stock,0,0.01949,-0.88
09/08/2023,Dividend,808524839,SCHZ,Stock,0,0,0.88
09/01/2023,Reinvest,,QACDS,Money Market,0,0.06,-0.06
09/01/2023,Dividend,922906300,VMFXX,Money Market,0,0,1815.27
09/01/2023,Reinvest,922906300,VMFXX,Money Market,0,1815.27,-1815.27
09/01/2023,Interest,,,Municipal Bond,0,0,0.06
8/22/2023,WDL,,QACDS,Money Market,0,-60000,60000
8/21/2023,BNK,,,Other,0,0,60000
8/21/2023,DBS,,QACDS,Money Market,0,60000,-60000
8/21/2023,Buy,922906300,VMFXX,Money Market,1,60000,-60000
