Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
09/23/2021,Buy,NVDA,Stock,22.14,0.3112,6.89
07/01/2021,Buy,NVDA,Stock,20.12,0.3424,6.89
03/31/2021,Buy,NVDA,Stock,13.15,0.524,6.89
03/04/2021,Buy,NVDA,Stock,12.70,320,4064.00
01/27/2021,Buy,NVDA,Stock,13.09,400,5237.85
12/29/2020,Buy,NVDA,Stock,12.90,0.3092,3.99
09/24/2020,Buy,NVDA,Stock,12.35,0.324,4.00
06/26/2020,Buy,NVDA,Stock,9.43,0.424,4.00
04/21/2020,Buy,NVDA,Stock,7.00,600,4200.00
03/20/2020,Buy,NVDA,Stock,5.63,0.2844,1.60
02/24/2020,Buy,NVDA,Stock,6.97,400,2787.68
07/31/2025,Buy,QQQ,ETF,572.53,0.02068,11.84
04/30/2025,Buy,QQQ,ETF,467.19,0.03063,14.31
02/21/2025,Buy,QQQ,ETF,526.23,20,10524.50
05/16/2022,Buy,ROKU,Stock,95.00,20,1900.00
07/01/2025,Buy,SCHA,ETF,25.37,1.50532,38.19
03/31/2025,Buy,SCHA,ETF,23.16,1.09192,25.29
12/16/2024,Buy,SCHA,ETF,27.06,2.8386,76.81
09/30/2024,Buy,SCHA,ETF,25.74,1.54094,39.66
07/01/2024,Buy,SCHA,ETF,23.69,1.52418,36.11
03/25/2024,Buy,SCHA,ETF,24.11,1.00704,24.28
12/11/2023,Buy,SCHA,ETF,21.95,2.37958,52.22
09/25/2023,Buy,SCHA,ETF,20.52,1.67586,34.39
06/26/2023,Buy,SCHA,ETF,21.08,1.57922,33.29
03/27/2023,Buy,SCHA,ETF,20.28,1.48654,30.14
12/12/2022,Buy,SCHA,ETF,20.65,2.22514,45.96
09/26/2022,Buy,SCHA,ETF,19.17,1.49844,28.73
06/27/2022,Buy,SCHA,ETF,20.12,1.60656,32.32
03/28/2022,Buy,SCHA,ETF,23.71,0.62348,14.78
12/13/2021,Buy,SCHA,ETF,25.10,2.13076,53.48
09/27/2021,Buy,SCHA,ETF,25.71,1.22968,31.62
06/28/2021,Buy,SCHA,ETF,26.19,0.91952,24.08
03/29/2021,Buy,SCHA,ETF,24.78,0.94468,23.41
12/15/2020,Buy,SCHA,ETF,21.75,1.50108,32.65
09/28/2020,Buy,SCHA,ETF,17.00,1.77664,30.20
06/29/2020,Buy,SCHA,ETF,15.88,0.79908,12.69
03/30/2020,Buy,SCHA,ETF,12.77,1.91968,24.51
12/17/2019,Buy,SCHA,ETF,18.73,2.12868,39.86
07/02/2019,Buy,SCHA,ETF,17.89,0.1448,2.59
03/26/2019,Buy,SCHA,ETF,17.33,1.0448,18.11
01/04/2019,Buy,SCHA,ETF,15.29,0.1504,2.30
12/18/2018,Buy,SCHA,ETF,15.66,2.37,37.11
10/26/2018,Buy,SCHA,ETF,16.38,120,1965.00
